seqID	sampleID	sampleType
d37_3776	d37_3776	mouse
d37_3797	d37_3797	mouse
d37_3827	d37_3827	mouse
d37_3830	d37_3830	mouse
d37_3836	d37_3836	mouse
d37_3844	d37_3844	mouse
d37_4837	d37_4837	mouse
d37_4914	d37_4914	mouse
d37_5925	d37_5925	mouse
d37_5942	d37_5942	mouse
d37_5957	d37_5957	mouse
d37_5964	d37_5964	mouse
d37_5969	d37_5969	mouse
d37_5978	d37_5978	mouse
d38_2904	d38_2904	mouse
d38_2933	d38_2933	mouse
d38_2935	d38_2935	mouse
d38_2949	d38_2949	mouse
d38_2956	d38_2956	mouse
d38_2966	d38_2966	mouse
d38_2988	d38_2988	mouse
d38_3739	d38_3739	mouse
d38_3755	d38_3755	mouse
d38_3765	d38_3765	mouse
d38_3776	d38_3776	mouse
d38_3797	d38_3797	mouse
d38_3827	d38_3827	mouse
d38_3830	d38_3830	mouse
d38_3836	d38_3836	mouse
d38_3844	d38_3844	mouse
d38_4837	d38_4837	mouse
d38_4914	d38_4914	mouse
d38_5925	d38_5925	mouse
d38_5942	d38_5942	mouse
d38_5957	d38_5957	mouse
d38_5964	d38_5964	mouse
d38_5969	d38_5969	mouse
d38_5978	d38_5978	mouse
d39_2904	d39_2904	mouse
d39_2933	d39_2933	mouse
d39_2935	d39_2935	mouse
d39_2949	d39_2949	mouse
d39_2956	d39_2956	mouse
d39_2966	d39_2966	mouse
d39_2988	d39_2988	mouse
d39_3739	d39_3739	mouse
d39_3755	d39_3755	mouse
d39_3765	d39_3765	mouse
d39_3776	d39_3776	mouse
d39_3797	d39_3797	mouse
d39_3827	d39_3827	mouse
d39_3830	d39_3830	mouse
d39_3836	d39_3836	mouse
d39_3844	d39_3844	mouse
d39_4837	d39_4837	mouse
d39_4914	d39_4914	mouse
d39_5925	d39_5925	mouse
d39_5942	d39_5942	mouse
d39_5957	d39_5957	mouse
d39_5964	d39_5964	mouse
d39_5969	d39_5969	mouse
d39_5978	d39_5978	mouse
d4_2904	d4_2904	mouse
d4_2933	d4_2933	mouse
d4_2935	d4_2935	mouse
d4_2949	d4_2949	mouse
d4_2956	d4_2956	mouse
d4_2966	d4_2966	mouse
d4_2988	d4_2988	mouse
d4_3739	d4_3739	mouse
d4_3755	d4_3755	mouse
d4_3765	d4_3765	mouse
d4_3776	d4_3776	mouse
d4_3797	d4_3797	mouse
d4_3827	d4_3827	mouse
d4_3830	d4_3830	mouse
d4_3836	d4_3836	mouse
d4_3844	d4_3844	mouse
d4_4837	d4_4837	mouse
d4_4914	d4_4914	mouse
d4_5925	d4_5925	mouse
d4_5942	d4_5942	mouse
d4_5957	d4_5957	mouse
d4_5964	d4_5964	mouse
d4_5969	d4_5969	mouse
d4_5978	d4_5978	mouse
d40_2904	d40_2904	mouse
d40_2933	d40_2933	mouse
d40_2935	d40_2935	mouse
d40_2949	d40_2949	mouse
d40_2956	d40_2956	mouse
d40_2966	d40_2966	mouse
d40_2988	d40_2988	mouse
d40_3739	d40_3739	mouse
d40_3755	d40_3755	mouse
d40_3765	d40_3765	mouse
d40_3776	d40_3776	mouse
d40_3797	d40_3797	mouse
d40_3827	d40_3827	mouse
d40_3830	d40_3830	mouse
d40_3836	d40_3836	mouse
d40_3844	d40_3844	mouse
d40_4837	d40_4837	mouse
d40_4914	d40_4914	mouse
d40_5925	d40_5925	mouse
d40_5942	d40_5942	mouse
d40_5957	d40_5957	mouse
d40_5964	d40_5964	mouse
d40_5969	d40_5969	mouse
d40_5978	d40_5978	mouse
d41_2904	d41_2904	mouse
d41_2933	d41_2933	mouse
d41_2935	d41_2935	mouse
d41_2949	d41_2949	mouse
d41_2956	d41_2956	mouse
d41_2966	d41_2966	mouse
d41_2988	d41_2988	mouse
d41_3739	d41_3739	mouse
d41_3755	d41_3755	mouse
d41_3765	d41_3765	mouse
d41_3776	d41_3776	mouse
d41_3797	d41_3797	mouse
d41_3827	d41_3827	mouse
d41_3830	d41_3830	mouse
d41_3836	d41_3836	mouse
d41_3844	d41_3844	mouse
d41_4837	d41_4837	mouse
d41_4914	d41_4914	mouse
d41_5925	d41_5925	mouse
d41_5942	d41_5942	mouse
d41_5957	d41_5957	mouse
d41_5964	d41_5964	mouse
d41_5969	d41_5969	mouse
d41_5978	d41_5978	mouse
d42_2904	d42_2904	mouse
d42_2933	d42_2933	mouse
d42_2935	d42_2935	mouse
d42_2949	d42_2949	mouse
d42_2956	d42_2956	mouse
d42_2966	d42_2966	mouse
d42_2988	d42_2988	mouse
d42_3739	d42_3739	mouse
d42_3755	d42_3755	mouse
d42_3765	d42_3765	mouse
d42_3776	d42_3776	mouse
d42_3797	d42_3797	mouse
d42_3827	d42_3827	mouse
d42_3830	d42_3830	mouse
d42_3836	d42_3836	mouse
d42_3844	d42_3844	mouse
d42_4837	d42_4837	mouse
d42_4914	d42_4914	mouse
d42_5925	d42_5925	mouse
d42_5942	d42_5942	mouse
d42_5957	d42_5957	mouse
d42_5964	d42_5964	mouse
d42_5969	d42_5969	mouse
d42_5978	d42_5978	mouse
d43_2904	d43_2904	mouse
d43_2933	d43_2933	mouse
d43_2935	d43_2935	mouse
