description	category	color
PWY0-881	Lipid-Biosynthesis	#F9C541
PWY-5156	Lipid-Biosynthesis	#F9C541
FASYN-INITIAL-PWY	Lipid-Biosynthesis	#F9C541
PWY-6285	Lipid-Biosynthesis	#F9C541
LPSSYN-PWY	Lipid-Biosynthesis	#F9C541
PWY-6113	Lipid-Biosynthesis	#F9C541
PHOSLIPSYN-PWY	Lipid-Biosynthesis	#F9C541
PWY-6284	Lipid-Biosynthesis	#F9C541
LIPASYN-PWY	Metabolic-Clusters	grey50
PWY-5656	Metabolic-Regulators	#40AA84
PPGPPMET-PWY	Metabolic-Regulators	#40AA84
PWY-7805	Noncarbon-Nutrients	#198591
PWY1ZNC-1	Noncarbon-Nutrients	#198591
PWY-7807	Noncarbon-Nutrients	#198591
PWY0-1533	Noncarbon-Nutrients	#198591
PWY-7399	Noncarbon-Nutrients	#198591
PWY-5675	Noncarbon-Nutrients	#198591
PWY490-3	Noncarbon-Nutrients	#198591
PWY-4984	Noncarbon-Nutrients	#198591
SO4ASSIM-PWY	Noncarbon-Nutrients	#198591
SULFATE-CYS-PWY	Noncarbon-Nutrients	#198591
PWY-6700	Nucleic-Acid-Processing	#800020
PWY0-1479	Nucleic-Acid-Processing	#800020
PWY-6121	Nucleotide-Biosynthesis	#E70005
PWY-6122	Nucleotide-Biosynthesis	#E70005
PWY-6609	Nucleotide-Biosynthesis	#E70005
PWY-7220	Nucleotide-Biosynthesis	#E70005
PWY-7222	Nucleotide-Biosynthesis	#E70005
PWY-7221	Nucleotide-Biosynthesis	#E70005
PWY-6123	Nucleotide-Biosynthesis	#E70005
PWY-6124	Nucleotide-Biosynthesis	#E70005
PWY-7234	Nucleotide-Biosynthesis	#E70005
PWY-7199	Nucleotide-Biosynthesis	#E70005
PWY-7187	Nucleotide-Biosynthesis	#E70005
PWY-5686	Nucleotide-Biosynthesis	#E70005
PWY-7790	Nucleotide-Biosynthesis	#E70005
PWY-7791	Nucleotide-Biosynthesis	#E70005
PWY-7197	Nucleotide-Biosynthesis	#E70005
PWY-7210	Nucleotide-Biosynthesis	#E70005
PWY-7184	Nucleotide-Biosynthesis	#E70005
PWY-6545	Nucleotide-Biosynthesis	#E70005
PWY-7198	Nucleotide-Biosynthesis	#E70005
PWY-6277	Nucleotide-Biosynthesis	#E70005
PWY-7229	Nucleotide-Biosynthesis	#E70005
PWY-6126	Nucleotide-Biosynthesis	#E70005
PWY-7228	Nucleotide-Biosynthesis	#E70005
PWY-6125	Nucleotide-Biosynthesis	#E70005
PWY66-409	Nucleotide-Biosynthesis	#E70005
PWY-841	Nucleotide-Biosynthesis	#E70005
DENOVOPURINE2-PWY	Nucleotide-Biosynthesis	#E70005
PWY-7200	Nucleotide-Biosynthesis	#E70005
PWY-7211	Nucleotide-Biosynthesis	#E70005
PWY0-166	Nucleotide-Biosynthesis	#E70005
PWY-7208	Nucleotide-Biosynthesis	#E70005
PWY-7196	Nucleotide-Biosynthesis	#E70005
PWY0-162	Nucleotide-Biosynthesis	#E70005
PRPP-PWY	Nucleotide-Biosynthesis	#E70005
PWY-8131	Nucleotide-Degradation	#FA180C
SALVADEHYPOX-PWY	Nucleotide-Degradation	#FA180C
PWY-6607	Nucleotide-Degradation	#FA180C
PWY-6606	Nucleotide-Degradation	#FA180C
PWY-6608	Nucleotide-Degradation	#FA180C
PWY-5695	Nucleotide-Degradation	#FA180C
PWY0-1296	Nucleotide-Degradation	#FA180C
